Stream,Activity,Interest1,Interest2,Skill1,Skill2,Subject1,Subject2,Numerical,Logical,English,Personality,PreferredEnv,StudyStyle,Career
Science,Code,Reading,Programming,Leadership,Empathy,Mathematics,Biology,79.97,6,8,42,Solo,Visual,Software Developer
Science,Code,Designing,Programming,Python,Creativity,Mathematics,Mathematics,72.66,6,10,38,Solo,Reading,Software Developer
Science,Code,Designing,Public Speaking,Teamwork,Leadership,Physics,Biology,70.31,8,6,32,Structured,Hands-On,Software Developer
Science,Code,Helping,Drawing,Empathy,Observation,Chemistry,Chemistry,77.42,3,3,32,Structured,Visual,Software Developer
Science,Code,Writing,Writing,Leadership,Python,History,Political Science,64.87,7,5,27,Solo,Listening,Software Developer
Science,Code,Reading,Helping,Observation,Empathy,Chemistry,Physics,89.66,6,7,27,Team,Hands-On,Software Developer
Science,Code,Reading,Public Speaking,Creativity,Problem Solving,Computer Science,History,69.56,7,4,36,Outdoor,Reading,Software Developer
Science,Code,Writing,Writing,Empathy,Leadership,Chemistry,Psychology,68.99,6,5,44,Team,Reading,Software Developer
Science,Code,Drawing,Exploring,Problem Solving,Leadership,Political Science,Mathematics,74.87,4,8,28,Outdoor,Visual,Software Developer
Science,Code,Public Speaking,Programming,Observation,Problem Solving,Computer Science,Chemistry,77.09,3,4,35,Team,Hands-On,Software Developer
Science,Code,Public Speaking,Exploring,Problem Solving,Teamwork,Biology,Computer Science,82.38,7,6,33,Team,Reading,Software Developer
Science,Code,Helping,Designing,Problem Solving,Observation,Mathematics,Biology,60.21,5,6,40,Structured,Visual,Software Developer
Science,Code,Programming,Reading,Communication,Communication,Business Studies,Psychology,78.44,3,7,33,Solo,Listening,Software Developer
Science,Code,Designing,Exploring,Leadership,Python,Chemistry,Political Science,68.23,8,9,39,Outdoor,Hands-On,Software Developer
Science,Code,Reading,Helping,Problem Solving,Communication,History,Physics,66.61,6,7,39,Outdoor,Reading,Software Developer
Science,Code,Reading,Helping,Empathy,Communication,Economics,Biology,70.21,6,4,29,Solo,Hands-On,Software Developer
Science,Code,Exploring,Programming,Creativity,Observation,Computer Science,Mathematics,83.13,9,6,40,Solo,Reading,Software Developer
Science,Code,Reading,Reading,Teamwork,Creativity,Political Science,Biology,78.62,5,7,42,Team,Listening,Software Developer
Science,Code,Drawing,Helping,Problem Solving,Empathy,Political Science,Mathematics,74.64,10,1,39,Outdoor,Listening,Software Developer
Science,Code,Writing,Exploring,Teamwork,Creativity,Mathematics,Mathematics,75.87,6,7,25,Solo,Hands-On,Software Developer
Science,Code,Programming,Public Speaking,Empathy,Python,Chemistry,Physics,72.8,7,9,32,Team,Visual,Software Developer
Science,Code,Programming,Writing,Creativity,Empathy,Computer Science,History,66.92,5,8,36,Team,Reading,Software Developer
Science,Code,Exploring,Public Speaking,Teamwork,Problem Solving,Mathematics,Chemistry,69.7,8,7,39,Solo,Listening,Software Developer
Science,Code,Writing,Designing,Problem Solving,Teamwork,Physics,Chemistry,67.98,6,6,27,Solo,Listening,Software Developer
